belongs_to_collection;genres;id;imdb_id;original_title;overview;poster_path;release_date;runtime;tagline;title;video;vote_average
;[{'id': 18, 'name': 'Drama'}];221;tt0048545;Rebel Without a Cause;After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.;/bEAoNvtqvO0c2lItNkKlKUqhPuw.jpg;27/10/1955;111.0;The bad boy from a good family.;Rebel Without a Cause;False;7.6
;[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}];222;tt0017668;Berlin: Die Sinfonie der Grosstadt;Berlin is Walter Ruttmanns black and white documentary of Berlin in 1927. The big city symphony shows a day in the life of metropolitan Berlin. Showing the industrial uprising as well as the lives and working circumstances of the time.;/ePGMsItIMHSOvZkCJ6rnl4v64Sq.jpg;23/09/1927;69.0;;Berlin: Symphony of a Great City;False;8.0
;[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}];223;tt0032976;Rebecca;A self-conscious bride is tormented by the memory of her husband's dead first wife.;/eIkJjEbQcPasYvoNHKueFrfgpX4.jpg;12/04/1940;130.0;The shadow of this woman darkened their love.;Rebecca;False;7.7
{'id': 457305, 'name': 'Man of Marble/Iron Collection', 'poster_path': None, 'backdrop_path': None};[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}];224;tt0075902;Człowiek z marmuru;Man of Marble is a Polish film about a student making a film about a bricklayer who was once idolized. She interviews people who knew him and finds old footage that lead to an unfolding mystery that causes her producer to cancel the project.;/73BPqydASQ8QvaofiPtRs3CCjLZ.jpg;25/02/1977;165.0;;Man of Marble;False;5.8
{'id': 457305, 'name': 'Man of Marble/Iron Collection', 'poster_path': None, 'backdrop_path': None};[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}];225;tt0082222;Czlowiek z zelaza;In Warsaw in 1980, the Communist Party sends Winkel, a weak, alcoholic TV hack, to Gdansk to dig up dirt on the shipyard strikers, particularly on Maciek Tomczyk, an articulate worker whose father was killed in the December 1970 protests. Posing as sympathetic, Winkel interviews the people surrounding Tomczyk, including his detained wife, Agnieszka.;/sBE5uTURQ7m0CtidhjaSdSz2POQ.jpg;27/07/1981;147.0;;Man of Iron;False;6.1
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];226;tt0171804;Boys Don't Cry;Female born, Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.;/6bqIZTEuJnUrgnxcymciszvOz8J.jpg;02/09/1999;118.0;A true story about finding the courage to be yourself.;Boys Don't Cry;False;7.2
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];227;tt0086066;The Outsiders;When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.;/35K8ItoRuD7i0VBqjj8bEX0Ct6E.jpg;25/03/1983;91.0;They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.;The Outsiders;False;6.9
;[{'id': 18, 'name': 'Drama'}];228;tt0020697;Der blaue Engel;The Blue Angel follows Immanuel Rath (Emil Jannings) through a transformation from esteemed educator at the local Gymnasium (college preparatory high school) to a cabaret clown in Weimar Germany. Rath's descent begins when he punishes several of his students for circulating photographs of the beautiful Lola Lola (Marlene Dietrich) the headliner for the local cabaret, The Blue Angel. Hoping to catch the boys at the club, Professor Rath goes there later that evening and meets Lola herself. Consumed with desire and determined to remain at Lola's side, Rath returns to the night club the following evening (to return a pair of panties that were smuggled into his coat by one of his students) and stays the night with her. The next morning, reeling from his night of passion, Rath arrives late to school to find his classroom in chaos and the principal furious with his behavior.;/zzjwkKxcRWoW1K0FT8TOpjeVZSL.jpg;31/03/1930;108.0;;The Blue Angel;False;7.4
{'id': 218406, 'name': 'Frankenstein (Universal Series)', 'poster_path': '/2PJYpPHOqnVMXelHV1T4t6zra4i.jpg', 'backdrop_path': '/oR3GHwhvOcjn124b7wOZl9SHh8G.jpg'};[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}];229;tt0026138;Bride of Frankenstein;Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.;/7YOfYQ6yhpBYWOh8vFQYfo2mm5I.jpg;21/04/1935;75.0;The monster demands a mate.;Bride of Frankenstein;False;7.4
;[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];231;tt0365737;Syriana;The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.;/ArLpoafsdFhs5USOn2AUsEIImxI.jpg;23/11/2005;128.0;Everything is connected.;Syriana;False;6.3
;[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];232;tt0086216;Rumble Fish;Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.;/pwXuTYNhKucg40HzEhUQDpm2FQm.jpg;20/10/1983;94.0;Rusty James can't live up to his brother's reputation. His brother can't live it down.;Rumble Fish;False;6.8
;[{'id': 18, 'name': 'Drama'}];233;tt0080117;The Wanderers;The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’;/l76lnVXe34KumtSd28dSHqZ9Uw5.jpg;13/07/1979;117.0;It was the Wanderer's Against The World...;The Wanderers;False;7.2
;[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}];234;tt0010323;Das Cabinet des Dr. Caligari;The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.;/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg;25/02/1920;78.0;You must become Caligari.;The Cabinet of Dr. Caligari;False;7.7
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];235;tt0092005;Stand by Me;After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.;/kedC0y75jdzByjuZNLOWIOtduNw.jpg;22/08/1986;89.0;For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.;Stand by Me;False;7.8
;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];236;tt0110598;Muriel's Wedding;Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.;/qoZShHm8QTrHAR80LypwI0SYp8I.jpg;29/09/1994;106.0;Success is the best revenge.;Muriel's Wedding;False;6.9
;[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}];237;tt0289635;Young Adam;A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.;/eZDKfjjI5IhqKCOLHonTvKpPnNr.jpg;26/09/2003;93.0;Everyone has a past. Everyone has a secret.;Young Adam;False;5.9
{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}];238;tt0068646;The Godfather;Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.;/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg;14/03/1972;175.0;An offer you can't refuse.;The Godfather;False;8.5
;[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];239;tt0053291;Some Like It Hot;Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.;/pxc9EFCMYkItESpqqrI783yl8Gh.jpg;18/03/1959;122.0;The movie too HOT for words!;Some Like It Hot;False;8.0
{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}];240;tt0071562;The Godfather: Part II;In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.;/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg;20/12/1974;200.0;I don't feel I have to wipe everybody out, Tom. Just my enemies.;The Godfather: Part II;False;8.3
;[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}];241;tt0110632;Natural Born Killers;Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.;/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg;25/08/1994;119.0;The Media Made Them Superstars.;Natural Born Killers;False;6.9
{'id': 230, 'name': 'The Godfather Collection', 'poster_path': '/7SJVjEDoo7xH62TS8stkqRk4Byo.jpg', 'backdrop_path': '/3WZTxpgscsmoUk81TuECXdFOD0R.jpg'};[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];242;tt0099674;The Godfather: Part III;In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.;/1hdm3Axw9LjITbApvAXBbqO58zE.jpg;24/12/1990;162.0;All the power on earth can't change destiny.;The Godfather: Part III;False;7.1
;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}];243;tt0146882;High Fidelity;When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.;/sEZKCUFU6Ozf7hZ3UuaKWUqHLTZ.jpg;17/03/2000;113.0;A comedy about fear of commitment, hating your job, falling in love and other pop favorites.;High Fidelity;False;7.0
{'id': 135495, 'name': 'King Kong (1933 series)', 'poster_path': '/pM9K6M8wZNypSEXoi2TaeXGpcHu.jpg', 'backdrop_path': None};[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}];244;tt0024216;King Kong;An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.;/vXInYahVp31uL8wZORckaoHq565.jpg;07/04/1933;100.0;A Monster of Creation's Dawn Breaks Loose in Our World Today!;King Kong;False;7.7
;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}];245;tt0276751;About a Boy;Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.;/1kz4Q2v7cxwNnTfkjrujzWAVCne.jpg;26/04/2002;101.0;One ordinary couple. One little white lie.;About a Boy;False;6.6
;[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}];246;tt0363226;座頭市;Zatôichi is a 19th century blind nomad who makes his living as a gambler and masseur. However, behind this humble facade, he is a master swordsman gifted with a lightning-fast draw and breathtaking precision. While wandering, Zatôichi discovers a remote mountain village at the mercy of Ginzo, a ruthless gang-leader. Ginzo disposes of anyone who gets in his way, especially after hiring the mighty samurai ronin, Hattori, as a bodyguard. After a raucous night of gambling in town, Zatôichi encounters a pair of geishas--as dangerous as they are beautiful--who've come to avenge their parents' murder. As the paths of these and other colorful characters intertwine, Ginzo's henchmen are soon after Zatôichi. With his legendary cane sword at his side, the stage is set for a riveting showdown.;/xNFaRG30R3IiVFMgX8X8kAFGxCP.jpg;06/09/2003;111.0;His sword made him a hero... his courage made him a legend.;Zatoichi;False;7.3
;[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}];247;tt0049406;The Killing;The Killing was Stanley Kubrick’s first film with a professional cast and the first time he achieved public recognition as the unconventional director he’s now known for. The story is of ex-prisoners who plan to set up a racetrack so they can live a life without monetary worries. One of the more exceptional films of the 1950’s.;/eUfj1NXxd7yIiCrqAOUm1MYL2CQ.jpg;08/05/1956;85.0;"...Like No Other Picture Since ""Scarface"" and ""Little Caesar""!";The Killing;False;7.7
;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}];248;tt0055312;Pocketful of Miracles;Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.;/4s5aoejcKbCawjESf2nCHIF67QZ.jpg;18/12/1961;136.0;You have to see it to believe it!;Pocketful of Miracles;False;7.3
;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];249;tt0098621;The War of the Roses;The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.;/jxHChKyDopLcDHvulDo4EVppCCr.jpg;08/12/1989;116.0;Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.;The War of the Roses;False;6.7
{'id': 95891, 'name': 'In China They Eat Dogs Collection', 'poster_path': '/ws7sHs7oVSoVgrLTlEitJ2mJGR8.jpg', 'backdrop_path': '/jeH6MaDD1CnZ8TLupBAi0DYWn2F.jpg'};[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}];250;tt0180748;I Kina spiser de hunde;An intent fast paced Danish dark comedy film about two separately motivated brothers who with their slightly psychopathic tendencies end up in a touchy situation. One brother gets in serious trouble after a bank robbery and begs the other brother for help.;/zuKjvs3IUvdNbMwqcfdHCGeyKt1.jpg;10/09/1999;91.0;;In China They Eat Dogs;False;7.5
;[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}];251;tt0099653;Ghost;Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.;/rtxy3cplRFPUvruZajpcoxOQ7bi.jpg;12/07/1990;127.0;A love that will last forever.;Ghost;False;6.9
;[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}];252;tt0067992;Willy Wonka & the Chocolate Factory;Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?;/b94qXd1FcIwgzv0NYMUe2bjrzJR.jpg;29/06/1971;100.0;It's Scrumdiddlyumptious!;Willy Wonka & the Chocolate Factory;False;7.4
{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}];253;tt0070328;Live and Let Die;James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.;/p34OScaro2KdISrT4EMfeh1aS0E.jpg;05/07/1973;121.0;Roger Moore is James Bond.;Live and Let Die;False;6.4
;[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}];254;tt0360717;King Kong;In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.;/iQYMVoI9QE2wQCOSrxhiBYd4v0w.jpg;14/12/2005;187.0;The eighth wonder of the world.;King Kong;False;6.6
{'id': 185682, 'name': 'The Adventures of Antoine Doinel', 'poster_path': '/66hyq0YtgBjrfT2kB1YJu33UDcy.jpg', 'backdrop_path': '/hT6f042PKqsMjt0t8vPEE7yocKj.jpg'};[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];255;tt0062695;Baisers volés;Baisers voles is the second of two films from the ‘Antonie-Doinel-Zyklus’ by French director Truffaut. The film depicts the life of a young twenty year old man who’s life revolves around casual jobs and women, especially young violinist Christine Darbon (Claude Jade's screen-debut).;/5e1TrGnnBwF2cZIFUDZ63KNls5K.jpg;13/08/1968;96.0;Antoine knows what he wants to do... his problem is doing it;Stolen Kisses;False;7.4
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}];257;tt0380599;Oliver Twist;Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.;/ggQoLWChnmYaSdY1anfS6GqATNO.jpg;23/09/2005;130.0;;Oliver Twist;False;6.7
{'id': 185682, 'name': 'The Adventures of Antoine Doinel', 'poster_path': '/66hyq0YtgBjrfT2kB1YJu33UDcy.jpg', 'backdrop_path': '/hT6f042PKqsMjt0t8vPEE7yocKj.jpg'};[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];258;tt0065651;Domicile Conjugal;Bed and Board depicts Christine and Antoine having just gotten married yet things fall apart as they are unfaithful.;/x0IRPIQsjESTJaxwKlwNZof8siG.jpg;31/08/1970;100.0;;Bed and Board;False;7.2
{'id': 185682, 'name': 'The Adventures of Antoine Doinel', 'poster_path': '/66hyq0YtgBjrfT2kB1YJu33UDcy.jpg', 'backdrop_path': '/hT6f042PKqsMjt0t8vPEE7yocKj.jpg'};[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];259;tt0078771;L'amour en fuite;Antoine Doinel is now more than thirty. He divorces from Christine. He is a proofreader, and is in love with Sabine, a record seller. Colette, his teenager love, is now a lawyer. She buys Antoine's first published autobiographical novel. They meet again in a station...;/31r6S2VnaUXXfrbblSgIm0jixe7.jpg;24/01/1979;89.0;Antoine Doinel. He's got four ladies...Nine lives...and Plenty of alibis!;Love on the Run;False;6.9
;[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}];260;tt0026029;The 39 Steps;"While on vacation in London, Canadian Richard Hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith, who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan from sending secrets out of the country. Hannay is assisted by Pamela, an unwilling accomplice who discovers the truth.";/9v283GWj9a0AC8wwC4zriNqY1lZ.jpg;01/06/1935;86.0;Handcuffed to the girl who double-crossed him;The 39 Steps;False;7.4
;[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];261;tt0051459;Cat on a Hot Tin Roof;Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.;/2ILe9TXCB4bOcVwsV6cUChir0SR.jpg;17/02/1958;108.0;Just one pillow on her bed ... and just one desire in her heart!;Cat on a Hot Tin Roof;False;7.6
;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}];262;tt0085794;The King of Comedy;Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.;/pbAqLKoLydP7jl6P0vmYwlDtRPD.jpg;18/12/1982;109.0;It's No Laughing Matter.;The King of Comedy;False;7.6
;[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];265;tt0082661;Lili Marleen;Lili Marleen is the story of a German singer named Wilkie who while working in Switzerland falls in love with a Jewish composer named Robert who’s family is helping people to flee from the Nazis. Roberts family is skeptical of Walkie thinking she could be a Nazi as she becomes famous for singing Lili Marleen.;/nbOlJs5h98OiUBTnmMr330sAsib.jpg;14/01/1981;120.0;;Lili Marleen;False;5.6
;[{'id': 18, 'name': 'Drama'}];266;tt0057345;Le Mépris;Screenwriter Paul Javal's marriage to his wife Camille disintegrates during a film production as she spends time with its producer.;/e8AFmkWiY6MS7Em4GmLuqjEDc1v.jpg;21/10/1963;103.0;More Bold! More Brazen! And Much, Much More Bardot!;Contempt;False;7.5
;[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}];267;tt0118819;Carne trémula;A scorned ex-convict forces himself into the lives of the couple who put him behind bars.;/6fpt82Sfpkzw4dZgKgZMVFoaMBb.jpg;28/10/1997;103.0;Life, love, desire... and everything in between.;Live Flesh;False;7.2
{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'};[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}];268;tt0096895;Batman;The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.;/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg;23/06/1989;126.0;Have you ever danced with the devil in the pale moonlight?;Batman;False;7.0
;[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}];269;tt0053472;À bout de souffle;A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.;/o5xay1pqvpnIXcFAzgFyWcF6tua.jpg;16/03/1960;90.0;The film that was banned for 4 years. Why..?;Breathless;False;7.7
;[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}];271;tt0088015;Ronja Rövardotter;Ronya lives happily in her father's castle until she comes across a new playmate, Birk, in the nearby dark forest. The two explore the wilderness, braving dangerous Witchbirds and Rump-Gnomes. But when their families find out Birk and Ronja have been playing together, they forbid them to see each other again. Indeed, their fathers are competing robber chieftains and bitter enemies. Now the two spunky children must try to tear down the barriers that have kept their families apart for so long.;/C5BnctUPPdnS9H4PINXlpUyyIF.jpg;20/12/1984;126.0;;Ronja Robbersdaughter;False;6.6
{'id': 263, 'name': 'The Dark Knight Collection', 'poster_path': '/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg', 'backdrop_path': '/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg'};[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}];272;tt0372784;Batman Begins;Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.;/dr6x4GyyegBWtinPBzipY02J2lV.jpg;10/06/2005;140.0;Evil fears the knight.;Batman Begins;False;7.5
;[{'id': 18, 'name': 'Drama'}];273;tt0276617;Das weisse Rauschen;Lukas, a young schizophrenic man, has to deal with a new town, a new relationship, and the paranoia in his head.;/kPY3OULwq3RbubFCMJ3aPyj82uW.jpg;31/12/2001;107.0;;The White Sound;False;7.0
{'id': 9743, 'name': 'The Hannibal Lecter Anthology', 'poster_path': '/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg', 'backdrop_path': '/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg'};[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];274;tt0102926;The Silence of the Lambs;FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.;/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg;01/02/1991;119.0;To enter the mind of a killer she must challenge the mind of a madman.;The Silence of the Lambs;False;8.1
;[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}];275;tt0116282;Fargo;Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!;/pyEkyYgtyjOX1R9EYyUcgbK1sTn.jpg;05/04/1996;98.0;A lot can happen in the middle of nowhere.;Fargo;False;7.7
;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}];276;tt0408777;Die fetten Jahre sind vorbei;Three activists cobble together a kidnapping plot after they encounter a businessman in his home.;/jmjX2tV91uU6GBKUAx3otsYgMBG.jpg;25/10/2004;127.0;Every heart is a revolutionary cell.;The Edukators;False;7.2
